intent,customer_query,agent_response
no_network,My phone shows no signal,There may be a temporary network issue in your area. Our technical team is working on it.
data_balance,Check internet balance,You can check your data balance using our mobile app or by dialing *123#.
slow_internet,Why is my data speed low?,"Please restart your phone and check your data balance. If the issue continues, try changing your network mode."
data_balance,How to check data balance?,You can check your data balance using our mobile app or by dialing *123#.
recharge_failed,Recharge failed but money deducted,"If the recharge failed but money was deducted, it will be refunded within 5–7 working days."
international_roaming,Use SIM abroad,International roaming can be activated from the app or by contacting customer support.
bill_issue,My bill is too high,Your bill may include additional charges. Please check the detailed invoice in the app.
call_drop,Call disconnects often,Call drops may happen due to low signal strength. Please move to an open area and try again.
sim_activation,How do I activate my new SIM?,Insert the SIM into your phone and restart it. Activation usually completes within 2 hours.
plan_expiry,Plan validity check,You can check your plan expiry date in the mobile app or via SMS alert.
call_drop,Facing call drop issue,Call drops may happen due to low signal strength. Please move to an open area and try again.
slow_internet,Why is my data speed low?,"Please restart your phone and check your data balance. If the issue continues, try changing your network mode."
vas_charges,Service activated without consent,We have deactivated the service and any applicable refund will be processed.
bill_issue,Unexpected charges in bill,Your bill may include additional charges. Please check the detailed invoice in the app.
recharge_failed,Recharge issue,"If the recharge failed but money was deducted, it will be refunded within 5–7 working days."
international_roaming,Use SIM abroad,International roaming can be activated from the app or by contacting customer support.
vas_charges,Charged for unwanted service,We have deactivated the service and any applicable refund will be processed.
no_network,Network unavailable,There may be a temporary network issue in your area. Our technical team is working on it.
data_balance,How to check data balance?,You can check your data balance using our mobile app or by dialing *123#.
vas_charges,Charged for unwanted service,We have deactivated the service and any applicable refund will be processed.
bill_issue,My bill is too high,Your bill may include additional charges. Please check the detailed invoice in the app.
call_drop,Call disconnects often,Call drops may happen due to low signal strength. Please move to an open area and try again.
data_balance,Remaining data?,You can check your data balance using our mobile app or by dialing *123#.
no_network,My phone shows no signal,There may be a temporary network issue in your area. Our technical team is working on it.
sim_activation,My SIM is not working,Insert the SIM into your phone and restart it. Activation usually completes within 2 hours.
slow_internet,My internet is very slow,"Please restart your phone and check your data balance. If the issue continues, try changing your network mode."
bill_issue,Billing problem,Your bill may include additional charges. Please check the detailed invoice in the app.
international_roaming,Use SIM abroad,International roaming can be activated from the app or by contacting customer support.
international_roaming,Roaming activation,International roaming can be activated from the app or by contacting customer support.
slow_internet,Why is my data speed low?,"Please restart your phone and check your data balance. If the issue continues, try changing your network mode."
data_balance,Remaining data?,You can check your data balance using our mobile app or by dialing *123#.
international_roaming,Use SIM abroad,International roaming can be activated from the app or by contacting customer support.
slow_internet,Why is my data speed low?,"Please restart your phone and check your data balance. If the issue continues, try changing your network mode."
slow_internet,Why is my data speed low?,"Please restart your phone and check your data balance. If the issue continues, try changing your network mode."
vas_charges,Charged for unwanted service,We have deactivated the service and any applicable refund will be processed.
recharge_failed,Recharge failed but money deducted,"If the recharge failed but money was deducted, it will be refunded within 5–7 working days."
recharge_failed,Recharge failed but money deducted,"If the recharge failed but money was deducted, it will be refunded within 5–7 working days."
vas_charges,Service activated without consent,We have deactivated the service and any applicable refund will be processed.
plan_expiry,Plan validity check,You can check your plan expiry date in the mobile app or via SMS alert.
recharge_failed,Payment done but recharge not received,"If the recharge failed but money was deducted, it will be refunded within 5–7 working days."
plan_expiry,When does my plan expire?,You can check your plan expiry date in the mobile app or via SMS alert.
sim_activation,SIM not activated yet,Insert the SIM into your phone and restart it. Activation usually completes within 2 hours.
slow_internet,My internet is very slow,"Please restart your phone and check your data balance. If the issue continues, try changing your network mode."
international_roaming,Roaming activation,International roaming can be activated from the app or by contacting customer support.
call_drop,Facing call drop issue,Call drops may happen due to low signal strength. Please move to an open area and try again.
data_balance,How to check data balance?,You can check your data balance using our mobile app or by dialing *123#.
vas_charges,Service activated without consent,We have deactivated the service and any applicable refund will be processed.
vas_charges,Charged for unwanted service,We have deactivated the service and any applicable refund will be processed.
bill_issue,My bill is too high,Your bill may include additional charges. Please check the detailed invoice in the app.
slow_internet,Why is my data speed low?,"Please restart your phone and check your data balance. If the issue continues, try changing your network mode."
plan_expiry,Plan validity check,You can check your plan expiry date in the mobile app or via SMS alert.
recharge_failed,Recharge issue,"If the recharge failed but money was deducted, it will be refunded within 5–7 working days."
international_roaming,Roaming activation,International roaming can be activated from the app or by contacting customer support.
call_drop,Calls are dropping frequently,Call drops may happen due to low signal strength. Please move to an open area and try again.
slow_internet,Mobile data not working properly,"Please restart your phone and check your data balance. If the issue continues, try changing your network mode."
sim_activation,How do I activate my new SIM?,Insert the SIM into your phone and restart it. Activation usually completes within 2 hours.
vas_charges,Service activated without consent,We have deactivated the service and any applicable refund will be processed.
plan_expiry,Expiry date of my plan,You can check your plan expiry date in the mobile app or via SMS alert.
call_drop,Calls are dropping frequently,Call drops may happen due to low signal strength. Please move to an open area and try again.
international_roaming,Use SIM abroad,International roaming can be activated from the app or by contacting customer support.
sim_activation,How do I activate my new SIM?,Insert the SIM into your phone and restart it. Activation usually completes within 2 hours.
vas_charges,Charged for unwanted service,We have deactivated the service and any applicable refund will be processed.
no_network,Network unavailable,There may be a temporary network issue in your area. Our technical team is working on it.
data_balance,How to check data balance?,You can check your data balance using our mobile app or by dialing *123#.
